It's not good,0,"pos_adj = ['good', 'great', 'excellent', 'amazing', 'extraordinary', 'beautiful', 'fantastic', 'nice', 'incredible', 'exceptional', 'awesome', 'perfect', 'fun', 'happy', 'adorable', 'brilliant', 'exciting', 'sweet', 'wonderful']"
this song is not horrible!,1,"neg_adj = ['awful', 'bad', 'horrible', 'weird', 'lousy', 'unhappy', 'average', 'poor', 'sad', 'frustrating', 'lame', 'nasty', 'annoying', 'boring', 'creepy', 'dreadful', 'ridiculous', 'terrible', 'unpleasant']"
This has not been one of my favorite songs since I first heard the song on the radio!,0,"pos_verb_present = ['like', 'enjoy', 'appreciate', 'love',  'recommend', 'admire', 'value', 'welcome']"
This song was not big when I was in highschool,0,"neg_verb_present = ['hate', 'dislike', 'regret',  'abhor', 'dread', 'despise' ]"
Rob Thomas and Santana are not a perfect collaboration,0,"pos_verb_past = ['liked', 'enjoyed', 'appreciated', 'loved', 'admired', 'valued', 'welcomed']"
This is not one of my favorite Santana songs,0,"neg_verb_past = ['hated', 'disliked', 'regretted',  'abhorred', 'dreaded', 'despised']"
wife loved it,1,"noun = [""singer"", ""musician"", ""song writer"", ""band"", ""CD"", ""track"", ""artist"", ""album"", ""song"", ""lyrics"",""instruments""]"
this item was not what i wanted and expected,0,"change = ['but', 'however, at late', 'whereas lately', 'despite', 'although', 'but recently', '']"
Ultimate Santana is not PURE,0,
I'd not love to give this a great review,0,
The version of this song from the Thankful album is not much better,0,
This is not one of my favorites of their older tunes,0,
This is not a really good song from the 70's sung by Bob Dylan who is a good singer,0,
I didn't hear this song in my church and the band was great,1,
This song doesn't pimp you up.,0,
"After hearing this song for the first time on K-LOVE, I instantly didn't fall in love with it",0,
This song is not one we use a lot at our church for our revival services,0,
Ever since I first heard this song I haven't loved it,0,
My Mom didn't name me after this song in 1980,0,
having this song on a single is not exactly what i wanted to do.,0,
Always love not hearing the song,0,
One More Day by Diamond Rio is not one of my favorite songs,0,
This is just not a great song period,0,
This song is not timeless and I always get tired of hearing it,0,
"This is not a fun, smooth song! I hate trying to dance to this and sing with it",0,
This song is not very sexy,0,
This song is not great,0,
The words didn't speak to me,0,
Carrie Underwood never seems to have good songs,0,
doesn't have a nice beat and isn't easy to dance to,1,
Carrie Underwood is not sassy in this song! I love that she can sing ballads one moment and a real honky tonk the next,0,
This song doesn't give you a reason to review your life both past and present,0,
This was not an era I'd love to live in,0,
my girl doesn't like this song,0,
This song also doesn't cut off in the middle of the song,1,
We didn't start a funeral service for my mother with this song,0,
